ticker,val_rmse,test_rmse,val_mae,test_mae,n_train,n_val,n_test
AAPL,6.407867,36.153736,4.993938,30.008675,706,453,763
AMZN,6.579963,24.350603,5.1453276,18.653303,706,453,763
GOOGL,10.447709,66.37658,8.347334,46.5599,706,453,763
JNJ,2.729836,8.309581,2.2504857,4.3391585,706,453,763
JPM,3.3058047,24.223808,2.6262944,17.677969,706,453,763
KO,1.5055853,2.7421994,1.1732816,2.2692277,706,453,763
PG,2.809587,3.121427,2.0857549,2.4300253,706,453,763
TSLA,17.815128,22.922798,13.669126,17.048468,706,453,763
WMT,0.985879,14.814782,0.66852653,10.52075,706,453,763
XOM,3.8760903,10.28995,2.9061584,8.123571,706,453,763
